dB re 20u Pa,10600.000,96.257,dB re 20u Pa,190.000,71.664,%,190.000,11.227,%,190.000,0.691,dB re 20u Pa,10600.000,97.593,dB re 1 FS/Pa,10600.000,-47.853,dB re 1 FS/Pa,10600.000,-41.797,dB re 50k FS/Pa/ Pa,190.000,-136.174,dB re 50k FS/Pa/ Pa,190.000,-136.515,%,375.000,1.276,%,375.000,0.046,dB re 1 FS/Pa,5300.000,-37.666,dB re 1 FS/Pa,,,dB re 1 ,375.000,-0.886,%,375.000,1.561,%,375.000,0.065,dB re 1 FS/Pa,5300.000,-37.532,dB re 1 FS/Pa,,,dB re 50k FS/Pa/ Pa/ FS/Pa,190.000,-96.805,dB re 50k FS/Pa/ Pa/ FS/Pa,190.000,-97.275
deg.,10000.000,98.651,deg.,200.000,71.892,deg.,200.000,9.471,deg.,200.000,0.607,deg.,10000.000,99.014,deg.,10000.000,-48.152,deg.,10000.000,-42.844,deg.,200.000,-135.657,deg.,200.000,-135.976,deg.,400.000,1.065,deg.,400.000,0.036,deg.,5000.000,-39.250,deg.,,,deg.,400.000,-0.924,deg.,400.000,1.238,deg.,400.000,0.042,deg.,5000.000,-38.866,deg.,,,deg.,200.000,-96.287,deg.,200.000,-96.737
,9500.000,101.137,,212.000,70.516,,212.000,6.674,,212.000,0.633,,9500.000,101.591,,9500.000,-44.347,,9500.000,-41.887,,212.000,-135.220,,212.000,-135.628,,425.000,1.033,,425.000,0.031,,4750.000,-39.698,,,,,425.000,-0.769,,425.000,1.218,,425.000,0.039,,4750.000,-39.432,,,,,212.000,-95.850,,212.000,-96.388
,9000.000,103.871,,224.000,71.544,,224.000,6.438,,224.000,0.635,,9000.000,103.819,,9000.000,-36.913,,9000.000,-36.274,,224.000,-134.945,,224.000,-135.469,,450.000,1.077,,450.000,0.027,,4500.000,-38.884,,,,,450.000,-0.609,,450.000,1.206,,450.000,0.030,,4500.000,-38.707,,,,,224.000,-95.575,,224.000,-96.229
,8500.000,105.392,,236.000,72.172,,236.000,5.966,,236.000,0.482,,8500.000,104.108,,8500.000,-33.985,,8500.000,-33.726,,236.000,-134.947,,236.000,-135.447,,475.000,0.868,,475.000,0.018,,4250.000,-38.057,,,,,475.000,-0.583,,475.000,0.991,,475.000,0.024,,4250.000,-37.935,,,,,236.000,-95.578,,236.000,-96.207
,8000.000,99.734,,250.000,72.617,,250.000,5.346,,250.000,0.484,,8000.000,102.101,,8000.000,-35.603,,8000.000,-35.175,,250.000,-135.111,,250.000,-135.521,,500.000,0.750,,500.000,0.020,,4000.000,-37.977,,,,,500.000,-0.587,,500.000,0.846,,500.000,0.020,,4000.000,-38.017,,,,,250.000,-95.741,,250.000,-96.281
,7500.000,100.593,,265.000,73.367,,265.000,5.046,,265.000,0.328,,7500.000,100.577,,7500.000,-40.013,,7500.000,-40.423,,265.000,-135.244,,265.000,-135.643,,530.000,0.636,,530.000,0.026,,3750.000,-39.102,,,,,530.000,-0.571,,530.000,0.707,,530.000,0.020,,3750.000,-39.139,,,,,265.000,-95.874,,265.000,-96.403
,7100.000,101.255,,280.000,74.313,,280.000,4.906,,280.000,0.228,,7100.000,101.356,,7100.000,-39.399,,7100.000,-43.790,,280.000,-135.315,,280.000,-135.714,,560.000,0.514,,560.000,0.013,,3550.000,-40.024,,,,,560.000,-0.510,,560.000,0.551,,560.000,0.018,,3550.000,-39.915,,,,,280.000,-95.945,,280.000,-96.474
,6700.000,102.175,,300.000,75.532,,300.000,4.817,,300.000,0.272,,6700.000,101.048,,6700.000,-39.115,,6700.000,-41.513,,300.000,-135.307,,300.000,-135.661,,600.000,0.368,,600.000,0.017,,3350.000,-39.684,,,,,600.000,-0.442,,600.000,0.397,,600.000,0.019,,3350.000,-39.539,,,,,300.000,-95.937,,300.000,-96.421
,6300.000,96.601,,315.000,77.345,,315.000,5.436,,315.000,0.179,,6300.000,98.538,,6300.000,-39.557,,6300.000,-37.393,,315.000,-135.220,,315.000,-135.553,,630.000,0.299,,630.000,0.020,,3150.000,-39.269,,,,,630.000,-0.388,,630.000,0.325,,630.000,0.020,,3150.000,-38.953,,,,,315.000,-95.850,,315.000,-96.313
