dB re 20u Pa,10600.000,94.118,dB re 20u Pa,190.000,76.127,%,190.000,17.755,%,190.000,0.772,dB re 20u Pa,10600.000,96.252,dB re 1 FS/Pa,10600.000,-48.606,dB re 1 FS/Pa,10600.000,-40.779,dB re 50k FS/Pa/ Pa,190.000,-136.203,dB re 50k FS/Pa/ Pa,190.000,-137.247,%,375.000,1.178,%,375.000,0.070,dB re 1 FS/Pa,5300.000,-38.688,dB re 1 FS/Pa,,,dB re 1 ,375.000,1.234,%,375.000,1.030,%,375.000,0.075,dB re 1 FS/Pa,5300.000,-37.914,dB re 1 FS/Pa,,,dB re 50k FS/Pa/ Pa/ FS/Pa,190.000,-96.019,dB re 50k FS/Pa/ Pa/ FS/Pa,190.000,-97.131
deg.,10000.000,97.961,deg.,200.000,76.331,deg.,200.000,15.806,deg.,200.000,0.946,deg.,10000.000,97.695,deg.,10000.000,-51.320,deg.,10000.000,-43.965,deg.,200.000,-135.972,deg.,200.000,-136.809,deg.,400.000,0.978,deg.,400.000,0.068,deg.,5000.000,-39.427,deg.,,,deg.,400.000,1.182,deg.,400.000,0.849,deg.,400.000,0.039,deg.,5000.000,-39.209,deg.,,,deg.,200.000,-95.789,deg.,200.000,-96.693
,9500.000,99.264,,212.000,75.757,,212.000,12.628,,212.000,1.037,,9500.000,101.172,,9500.000,-44.573,,9500.000,-41.723,,212.000,-135.694,,212.000,-136.406,,425.000,0.903,,425.000,0.039,,4750.000,-39.127,,,,,425.000,1.086,,425.000,0.824,,425.000,0.032,,4750.000,-39.017,,,,,212.000,-95.510,,212.000,-96.290
,9000.000,104.661,,224.000,75.909,,224.000,10.739,,224.000,0.926,,9000.000,103.033,,9000.000,-37.696,,9000.000,-37.089,,224.000,-135.656,,224.000,-136.312,,450.000,0.857,,450.000,0.026,,4500.000,-38.490,,,,,450.000,0.996,,450.000,0.790,,450.000,0.048,,4500.000,-38.383,,,,,224.000,-95.472,,224.000,-96.195
,8500.000,101.295,,236.000,75.874,,236.000,8.956,,236.000,0.714,,8500.000,102.048,,8500.000,-35.594,,8500.000,-36.202,,236.000,-135.804,,236.000,-136.441,,475.000,0.810,,475.000,0.046,,4250.000,-38.117,,,,,475.000,0.958,,475.000,0.732,,475.000,0.047,,4250.000,-37.929,,,,,236.000,-95.621,,236.000,-96.324
,8000.000,98.974,,250.000,75.618,,250.000,7.335,,250.000,0.660,,8000.000,99.845,,8000.000,-37.511,,8000.000,-38.539,,250.000,-135.953,,250.000,-136.587,,500.000,0.703,,500.000,0.027,,4000.000,-38.613,,,,,500.000,0.953,,500.000,0.664,,500.000,0.033,,4000.000,-38.190,,,,,250.000,-95.769,,250.000,-96.471
,7500.000,99.701,,265.000,75.422,,265.000,6.171,,265.000,0.509,,7500.000,99.177,,7500.000,-40.886,,7500.000,-42.322,,265.000,-136.051,,265.000,-136.670,,530.000,0.609,,530.000,0.027,,3750.000,-39.847,,,,,530.000,0.941,,530.000,0.536,,530.000,0.020,,3750.000,-39.267,,,,,265.000,-95.867,,265.000,-96.553
,7100.000,98.150,,280.000,75.442,,280.000,5.413,,280.000,0.423,,7100.000,98.395,,7100.000,-41.768,,7100.000,-42.502,,280.000,-136.110,,280.000,-136.676,,560.000,0.501,,560.000,0.019,,3550.000,-40.129,,,,,560.000,0.893,,560.000,0.460,,560.000,0.025,,3550.000,-39.793,,,,,280.000,-95.926,,280.000,-96.560
,6700.000,97.199,,300.000,75.792,,300.000,4.865,,300.000,0.249,,6700.000,96.470,,6700.000,-43.640,,6700.000,-42.071,,300.000,-136.111,,300.000,-136.613,,600.000,0.406,,600.000,0.014,,3350.000,-39.589,,,,,600.000,0.826,,600.000,0.364,,600.000,0.020,,3350.000,-39.748,,,,,300.000,-95.927,,300.000,-96.497
,6300.000,88.571,,315.000,76.145,,315.000,4.629,,315.000,0.190,,6300.000,92.732,,6300.000,-41.881,,6300.000,-39.326,,315.000,-136.052,,315.000,-136.499,,630.000,0.325,,630.000,0.014,,3150.000,-39.406,,,,,630.000,0.777,,630.000,0.318,,630.000,0.024,,3150.000,-39.821,,,,,315.000,-95.869,,315.000,-96.383
,6000.000,89.126,,335.000,74.753,,335.000,3.585,,335.000,0.128,,6000.000,89.892,,6000.000,-33.436,,6000.000,-30.907,,335.000,-136.001,,335.000,-136.406,,670.000,0.259,,670.000,0.018,,3000.000,-39.503,,,,,670.000,0.773,,670.000,0.264,,670.000,0.026,,3000.000,-39.783,,,,,335.000,-95.817,,335.000,-96.289
,5600.000,91.894,,355.000,75.735,,355.000,3.739,,355.000,0.121,,5600.000,96.278,,5600.000,-28.350,,5600.000,-26.388,,355.000,-136.000,,355.000,-136.376,,710.000,0.244,,710.000,0.017,,2800.000,-39.307,,,,,710.000,0.786,,710.000,0.191,,710.000,0.017,,2800.000,-39.403,,,,,355.000,-95.816,,355.000,-96.260
,5300.000,101.161,,375.000,75.878,,375.000,3.560,,375.000,0.091,,5300.000,100.116,,5300.000,-27.098,,5300.000,-25.570,,375.000,-135.972,,375.000,-136.332,,750.000,0.178,,750.000,0.018,,2650.000,-38.223,,,,,750.000,0.778,,750.000,0.199,,750.000,0.011,,2650.000,-38.253,,,,,375.000,-95.788,,375.000,-96.216
,5000.000,101.272,,400.000,75.942,,400.000,3.332,,400.000,0.068,,5000.000,103.203,,5000.000,-29.288,,5000.000,-28.108,,400.000,-135.900,,400.000,-136.255,,800.000,0.219,,800.000,0.014,,2500.000,-37.565,,,,,800.000,0.748,,800.000,0.174,,800.000,0.021,,2500.000,-37.560,,,,,400.000,-95.716,,400.000,-96.139
,4750.000,106.410,,425.000,76.061,,425.000,3.205,,425.000,0.070,,4750.000,106.122,,4750.000,-34.122,,4750.000,-33.844,,425.000,-135.875,,425.000,-136.224,,850.000,0.181,,850.000,0.013,,2360.000,-38.325,,,,,850.000,0.709,,850.000,0.178,,850.000,0.020,,2360.000,-38.286,,,,,425.000,-95.692,,425.000,-96.108
,4500.000,107.984,,450.000,76.424,,450.000,3.204,,450.000,0.058,,4500.000,106.957,,4500.000,-33.346,,4500.000,-35.319,,450.000,-135.912,,450.000,-136.240,,900.000,0.096,,900.000,0.009,,2240.000,-39.774,,,,,900.000,0.663,,900.000,0.107,,900.000,0.020,,2240.000,-39.684,,,,,450.000,-95.728,,450.000,-96.123
,4250.000,104.628,,475.000,76.742,,475.000,3.210,,475.000,0.043,,4250.000,105.245,,4250.000,-26.466,,4250.000,-28.570,,475.000,-135.968,,475.000,-136.256,,950.000,0.101,,950.000,0.017,,2120.000,-40.571,,,,,950.000,0.602,,950.000,0.074,,950.000,0.013,,2120.000,-40.312,,,,,475.000,-95.784,,475.000,-96.139
,4000.000,101.106,,500.000,76.350,,500.000,2.969,,500.000,0.047,,4000.000,105.224,,4000.000,-22.798,,4000.000,-24.605,,500.000,-136.052,,500.000,-136.274,,1000.000,0.065,,1000.000,0.015,,2000.000,-40.841,,,,,1000.000,0.512,,1000.000,0.051,,1000.000,0.021,,2000.000,-40.207,,,,,500.000,-95.868,,500.000,-96.158
,3750.000,108.941,,530.000,75.588,,530.000,2.624,,530.000,0.032,,3750.000,109.757,,3750.000,-22.538,,3750.000,-23.509,,530.000,-136.237,,530.000,-136.346,,1060.000,0.068,,1060.000,0.020,,1900.000,-41.413,,,,,1060.000,0.400,,1060.000,0.057,,1060.000,0.014,,1900.000,-40.213,,,,,530.000,-96.054,,530.000,-96.229
,3550.000,113.193,,560.000,74.804,,560.000,2.298,,560.000,0.033,,3550.000,112.550,,3550.000,-25.329,,3550.000,-25.280,,560.000,-137.339,,560.000,-136.833,,1120.000,0.100,,1120.000,0.006,,1800.000,-41.959,,,,,1120.000,0.302,,1120.000,0.110,,1120.000,0.023,,1800.000,-40.495,,,,,560.000,-97.155,,560.000,-96.717
,3350.000,113.502,,600.000,72.845,,600.000,1.607,,600.000,0.045,,3350.000,113.822,,3350.000,-28.589,,3350.000,-30.885,,600.000,-137.862,,600.000,-137.256,,1180.000,0.069,,1180.000,0.015,,1700.000,-41.668,,,,,1180.000,0.206,,1180.000,0.038,,1180.000,0.011,,1700.000,-40.659,,,,,600.000,-97.678,,600.000,-97.139
,3150.000,114.884,,630.000,72.255,,630.000,1.818,,630.000,0.099,,3150.000,115.230,,3150.000,-28.670,,3150.000,-44.638,,630.000,-135.391,,630.000,-136.387,,1250.000,0.072,,1250.000,0.011,,1600.000,-41.181,,,,,1250.000,0.077,,1250.000,0.085,,1250.000,0.025,,1600.000,-40.721,,,,,630.000,-95.208,,630.000,-96.270
,3000.000,116.937,,670.000,71.928,,670.000,1.682,,670.000,0.047,,3000.000,117.095,,3000.000,-29.639,,3000.000,-29.074,,670.000,-133.547,,670.000,-135.568,,1320.000,0.071,,1320.000,0.022,,1500.000,-40.827,,,,,1320.000,0.020,,1320.000,0.094,,1320.000,0.022,,1500.000,-40.720,,,,,670.000,-93.364,,670.000,-95.452
,2800.000,118.771,,710.000,69.819,,710.000,1.174,,710.000,0.036,,2800.000,118.095,,2800.000,-22.338,,2800.000,-19.135,,710.000,-133.558,,710.000,-135.493,,1400.000,0.091,,1400.000,0.020,,1400.000,-40.591,,,,,1400.000,0.121,,1400.000,0.074,,1400.000,0.016,,1400.000,-40.667,,,,,710.000,-93.374,,710.000,-95.376
,2650.000,117.624,,750.000,68.959,,750.000,1.069,,750.000,0.019,,2650.000,117.829,,2650.000,-15.632,,2650.000,-13.953,,750.000,-133.870,,750.000,-134.694,,1500.000,0.080,,1500.000,0.019,,1320.000,-40.538,,,,,1500.000,0.301,,1500.000,0.065,,1500.000,0.013,,1320.000,-40.687,,,,,750.000,-93.686,,750.000,-94.578
,2500.000,117.121,,800.000,69.328,,800.000,1.063,,800.000,0.022,,2500.000,117.504,,2500.000,-12.901,,2500.000,-12.168,,800.000,-133.947,,800.000,-133.907,,1600.000,0.105,,1600.000,0.013,,1250.000,-40.507,,,,,1600.000,0.495,,1600.000,0.036,,1600.000,0.014,,1250.000,-40.611,,,,,800.000,-93.763,,800.000,-93.791
,2360.000,118.075,,850.000,69.719,,850.000,1.044,,850.000,0.024,,2360.000,117.742,,2360.000,-12.908,,2360.000,-12.927,,850.000,-133.841,,850.000,-133.665,,1700.000,0.250,,1700.000,0.009,,1180.000,-40.360,,,,,1700.000,1.154,,1700.000,0.238,,1700.000,0.015,,1180.000,-40.378,,,,,850.000,-93.657,,850.000,-93.548
,2240.000,117.625,,900.000,69.943,,900.000,1.010,,900.000,0.018,,2240.000,117.423,,2240.000,-14.630,,2240.000,-15.181,,900.000,-133.654,,900.000,-133.510,,1800.000,0.581,,1800.000,0.023,,1120.000,-40.218,,,,,1800.000,2.162,,1800.000,0.552,,1800.000,0.011,,1120.000,-40.197,,,,,900.000,-93.470,,900.000,-93.394
,2120.000,116.132,,950.000,70.314,,950.000,1.008,,950.000,0.029,,2120.000,115.916,,2120.000,-17.640,,2120.000,-18.200,,950.000,-133.421,,950.000,-133.292,,1900.000,0.363,,1900.000,0.007,,1060.000,-40.193,,,,,1900.000,2.157,,1900.000,0.385,,1900.000,0.012,,1060.000,-40.146,,,,,950.000,-93.238,,950.000,-93.176
,2000.000,112.110,,1000.000,71.480,,1000.000,1.140,,1000.000,0.014,,2000.000,113.407,,2000.000,-21.629,,2000.000,-21.990,,1000.000,-133.124,,1000.000,-133.014,,2000.000,0.147,,2000.000,0.005,,1000.000,-40.184,,,,,2000.000,1.420,,2000.000,0.120,,2000.000,0.004,,1000.000,-40.116,,,,,1000.000,-92.940,,1000.000,-92.898
,1900.000,111.492,,1060.000,74.457,,1060.000,1.650,,1060.000,0.034,,1900.000,111.632,,1900.000,-23.331,,1900.000,-23.999,,1060.000,-132.783,,1060.000,-132.696,,2120.000,0.098,,2120.000,0.007,,950.000,-40.185,,,,,2120.000,0.703,,2120.000,0.085,,2120.000,0.011,,950.000,-40.101,,,,,1060.000,-92.600,,1060.000,-92.579
,1800.000,111.396,,1120.000,74.691,,1120.000,1.770,,1120.000,0.023,,1800.000,111.461,,1800.000,-23.516,,1800.000,-24.055,,1120.000,-132.509,,1120.000,-132.427,,2240.000,0.103,,,,,900.000,-40.235,,,,,2240.000,0.216,,2240.000,0.086,,,,,900.000,-40.131,,,,,1120.000,-92.325,,1120.000,-92.311
,1700.000,111.559,,1180.000,74.158,,1180.000,1.745,,1180.000,0.035,,1700.000,111.328,,1700.000,-24.133,,1700.000,-24.412,,1180.000,-132.446,,1180.000,-132.342,,2360.000,0.114,,,,,850.000,-40.290,,,,,2360.000,0.140,,2360.000,0.088,,,,,850.000,-40.170,,,,,1180.000,-92.262,,1180.000,-92.226
,1600.000,110.749,,1250.000,71.436,,1250.000,1.366,,1250.000,0.018,,1600.000,110.742,,1600.000,-24.602,,1600.000,-24.929,,1250.000,-132.735,,1250.000,-132.849,,2500.000,0.149,,,,,800.000,-40.348,,,,,2500.000,0.253,,2500.000,0.105,,,,,800.000,-40.217,,,,,1250.000,-92.551,,1250.000,-92.732
,1500.000,109.719,,1320.000,70.709,,1320.000,1.191,,1320.000,0.024,,1500.000,109.765,,1500.000,-25.726,,1500.000,-25.818,,1320.000,-134.046,,1320.000,-134.415,,2650.000,0.108,,,,,750.000,-40.411,,,,,2650.000,0.255,,2650.000,0.084,,,,,750.000,-40.269,,,,,1320.000,-93.862,,1320.000,-94.298
,1400.000,108.615,,1400.000,70.504,,1400.000,1.243,,1400.000,0.029,,1400.000,109.060,,1400.000,-26.765,,1400.000,-26.761,,1400.000,-135.826,,1400.000,-135.821,,2800.000,0.094,,,,,710.000,-40.464,,,,,2800.000,0.082,,2800.000,0.074,,,,,710.000,-40.315,,,,,1400.000,-95.642,,1400.000,-95.704
,1320.000,109.194,,1500.000,68.573,,1500.000,0.876,,1500.000,0.019,,1320.000,108.940,,1320.000,-25.106,,1320.000,-25.474,,1500.000,-135.492,,1500.000,-135.584,,3000.000,0.097,,,,,670.000,-40.499,,,,,3000.000,0.018,,3000.000,0.067,,,,,670.000,-40.351,,,,,1500.000,-95.308,,1500.000,-95.467
,1250.000,108.727,,1600.000,65.398,,1600.000,0.540,,1600.000,0.021,,1250.000,109.001,,1250.000,-23.734,,1250.000,-23.848,,1600.000,-135.345,,1600.000,-135.671,,3150.000,0.098,,,,,630.000,-40.543,,,,,3150.000,-0.052,,3150.000,0.080,,,,,630.000,-40.386,,,,,1600.000,-95.161,,1600.000,-95.554
,1180.000,109.322,,1700.000,63.251,,1700.000,0.384,,1700.000,0.025,,1180.000,109.291,,1180.000,-23.155,,1180.000,-23.051,,1700.000,-135.461,,1700.000,-135.741,,3350.000,0.108,,,,,600.000,-40.616,,,,,3350.000,0.258,,3350.000,0.075,,,,,600.000,-40.423,,,,,1700.000,-95.278,,1700.000,-95.624
,1120.000,109.733,,1800.000,60.896,,1800.000,0.299,,1800.000,0.015,,1120.000,109.734,,1120.000,-22.775,,1120.000,-22.694,,1800.000,-134.978,,1800.000,-135.516,,3550.000,0.097,,,,,560.000,-40.698,,,,,3550.000,0.911,,3550.000,0.079,,,,,560.000,-40.461,,,,,1800.000,-94.794,,1800.000,-95.400
,1060.000,110.110,,1900.000,52.881,,1900.000,0.117,,1900.000,0.009,,1060.000,110.079,,1060.000,-22.704,,1060.000,-22.617,,1900.000,-134.963,,1900.000,-135.631,,3750.000,0.082,,,,,530.000,-40.761,,,,,3750.000,0.728,,3750.000,0.067,,,,,530.000,-40.508,,,,,1900.000,-94.779,,1900.000,-95.515
,1000.000,110.343,,2000.000,54.048,,2000.000,0.125,,2000.000,0.007,,1000.000,110.261,,1000.000,-22.863,,1000.000,-22.753,,2000.000,-135.036,,2000.000,-135.397,,4000.000,0.112,,,,,500.000,-40.788,,,,,4000.000,0.601,,4000.000,0.096,,,,,500.000,-40.537,,,,,2000.000,-94.852,,2000.000,-95.281
