dB re 20u Pa,10600.000,93.061,dB re 20u Pa,190.000,73.035,%,190.000,14.780,%,190.000,0.657,dB re 20u Pa,10600.000,93.974,dB re 1 FS/Pa,10600.000,-47.730,dB re 1 FS/Pa,10600.000,-42.624,dB re 50k FS/Pa/ Pa,190.000,-136.237,dB re 50k FS/Pa/ Pa,190.000,-136.404,%,375.000,1.161,%,375.000,0.076,dB re 1 FS/Pa,5300.000,-38.973,dB re 1 FS/Pa,,,dB re 1 ,375.000,1.425,%,375.000,1.005,%,375.000,0.066,dB re 1 FS/Pa,5300.000,-38.225,dB re 1 FS/Pa,,,dB re 50k FS/Pa/ Pa/ FS/Pa,190.000,-95.869,dB re 50k FS/Pa/ Pa/ FS/Pa,190.000,-96.212
deg.,10000.000,87.828,deg.,200.000,73.601,deg.,200.000,13.134,deg.,200.000,0.669,deg.,10000.000,93.689,deg.,10000.000,-45.414,deg.,10000.000,-43.187,deg.,200.000,-135.693,deg.,200.000,-135.893,deg.,400.000,0.930,deg.,400.000,0.060,deg.,5000.000,-39.797,deg.,,,deg.,400.000,1.342,deg.,400.000,0.833,deg.,400.000,0.039,deg.,5000.000,-39.607,deg.,,,deg.,200.000,-95.325,deg.,200.000,-95.701
,9500.000,97.866,,212.000,71.781,,212.000,8.578,,212.000,0.568,,9500.000,99.260,,9500.000,-43.129,,9500.000,-40.503,,212.000,-135.422,,212.000,-135.596,,425.000,0.898,,425.000,0.035,,4750.000,-39.188,,,,,425.000,1.255,,425.000,0.805,,425.000,0.026,,4750.000,-39.344,,,,,212.000,-95.055,,212.000,-95.404
,9000.000,103.200,,224.000,72.419,,224.000,7.635,,224.000,0.492,,9000.000,101.425,,9000.000,-37.529,,9000.000,-37.273,,224.000,-135.368,,224.000,-135.506,,450.000,0.834,,450.000,0.026,,4500.000,-38.398,,,,,450.000,1.172,,450.000,0.747,,450.000,0.050,,4500.000,-38.564,,,,,224.000,-95.000,,224.000,-95.314
,8500.000,98.823,,236.000,72.591,,236.000,6.596,,236.000,0.424,,8500.000,100.556,,8500.000,-35.518,,8500.000,-37.336,,236.000,-135.444,,236.000,-135.565,,475.000,0.773,,475.000,0.049,,4250.000,-38.001,,,,,475.000,1.120,,475.000,0.714,,475.000,0.054,,4250.000,-37.916,,,,,236.000,-95.076,,236.000,-95.373
,8000.000,99.692,,250.000,73.231,,250.000,6.026,,250.000,0.388,,8000.000,99.268,,8000.000,-37.944,,8000.000,-39.967,,250.000,-135.579,,250.000,-135.726,,500.000,0.700,,500.000,0.024,,4000.000,-38.565,,,,,500.000,1.103,,500.000,0.643,,500.000,0.034,,4000.000,-38.124,,,,,250.000,-95.211,,250.000,-95.534
,7500.000,98.772,,265.000,73.920,,265.000,5.636,,265.000,0.314,,7500.000,99.152,,7500.000,-43.796,,7500.000,-41.874,,265.000,-135.710,,265.000,-135.918,,530.000,0.591,,530.000,0.018,,3750.000,-39.956,,,,,530.000,1.085,,530.000,0.528,,530.000,0.026,,3750.000,-39.349,,,,,265.000,-95.343,,265.000,-95.726
,7100.000,99.303,,280.000,74.891,,280.000,5.547,,280.000,0.261,,7100.000,99.699,,7100.000,-44.678,,7100.000,-41.482,,280.000,-135.803,,280.000,-136.055,,560.000,0.498,,560.000,0.018,,3550.000,-40.313,,,,,560.000,1.028,,560.000,0.449,,560.000,0.020,,3550.000,-39.953,,,,,280.000,-95.436,,280.000,-95.863
,6700.000,101.056,,300.000,77.706,,300.000,6.638,,300.000,0.174,,6700.000,100.041,,6700.000,-38.706,,6700.000,-40.446,,300.000,-135.832,,300.000,-136.081,,600.000,0.422,,600.000,0.027,,3350.000,-39.718,,,,,600.000,0.950,,600.000,0.360,,600.000,0.017,,3350.000,-39.845,,,,,300.000,-95.465,,300.000,-95.889
,6300.000,98.036,,315.000,75.954,,315.000,4.977,,315.000,0.140,,6300.000,99.256,,6300.000,-35.422,,6300.000,-37.725,,315.000,-135.792,,315.000,-135.994,,630.000,0.330,,630.000,0.020,,3150.000,-39.484,,,,,630.000,0.902,,630.000,0.298,,630.000,0.013,,3150.000,-39.865,,,,,315.000,-95.424,,315.000,-95.802
,6000.000,99.154,,335.000,76.571,,335.000,4.895,,335.000,0.115,,6000.000,98.419,,6000.000,-31.900,,6000.000,-30.358,,335.000,-135.755,,335.000,-135.896,,670.000,0.278,,670.000,0.020,,3000.000,-39.553,,,,,670.000,0.897,,670.000,0.251,,670.000,0.020,,3000.000,-39.662,,,,,335.000,-95.388,,335.000,-95.704
,5600.000,96.965,,355.000,78.012,,355.000,5.400,,355.000,0.116,,5600.000,98.697,,5600.000,-27.832,,5600.000,-25.942,,355.000,-135.775,,355.000,-135.873,,710.000,0.231,,710.000,0.011,,2800.000,-39.276,,,,,710.000,0.904,,710.000,0.208,,710.000,0.021,,2800.000,-39.062,,,,,355.000,-95.408,,355.000,-95.681
,5300.000,100.592,,375.000,77.204,,375.000,4.620,,375.000,0.088,,5300.000,99.620,,5300.000,-26.835,,5300.000,-25.234,,375.000,-135.770,,375.000,-135.856,,750.000,0.183,,750.000,0.013,,2650.000,-38.188,,,,,750.000,0.893,,750.000,0.202,,750.000,0.016,,2650.000,-37.893,,,,,375.000,-95.403,,375.000,-95.664
,5000.000,99.424,,400.000,77.128,,400.000,4.264,,400.000,0.068,,5000.000,101.707,,5000.000,-29.557,,5000.000,-28.291,,400.000,-135.719,,400.000,-135.812,,800.000,0.211,,800.000,0.016,,2500.000,-37.655,,,,,800.000,0.867,,800.000,0.160,,800.000,0.016,,2500.000,-37.313,,,,,400.000,-95.352,,400.000,-95.620
,4750.000,104.812,,425.000,77.137,,425.000,4.057,,425.000,0.048,,4750.000,105.161,,4750.000,-35.525,,4750.000,-35.914,,425.000,-135.713,,425.000,-135.811,,850.000,0.203,,850.000,0.016,,2360.000,-38.528,,,,,850.000,0.835,,850.000,0.185,,850.000,0.015,,2360.000,-38.100,,,,,425.000,-95.346,,425.000,-95.619
,4500.000,107.920,,450.000,77.075,,450.000,3.867,,450.000,0.067,,4500.000,106.411,,4500.000,-34.273,,4500.000,-36.452,,450.000,-135.769,,450.000,-135.857,,900.000,0.107,,900.000,0.015,,2240.000,-40.009,,,,,900.000,0.788,,900.000,0.093,,900.000,0.018,,2240.000,-39.467,,,,,450.000,-95.401,,450.000,-95.665
,4250.000,103.203,,475.000,77.162,,475.000,3.773,,475.000,0.066,,4250.000,104.281,,4250.000,-27.472,,4250.000,-29.590,,475.000,-135.850,,475.000,-135.905,,950.000,0.112,,950.000,0.012,,2120.000,-40.790,,,,,950.000,0.721,,950.000,0.084,,950.000,0.016,,2120.000,-40.056,,,,,475.000,-95.483,,475.000,-95.713
,4000.000,95.363,,500.000,76.693,,500.000,3.453,,500.000,0.036,,4000.000,104.264,,4000.000,-23.870,,4000.000,-26.083,,500.000,-136.059,,500.000,-136.013,,1000.000,0.063,,1000.000,0.019,,2000.000,-40.983,,,,,1000.000,0.625,,1000.000,0.055,,1000.000,0.012,,2000.000,-39.916,,,,,500.000,-95.691,,500.000,-95.820
,3750.000,108.976,,530.000,75.981,,530.000,3.031,,530.000,0.032,,3750.000,109.139,,3750.000,-23.775,,3750.000,-25.192,,530.000,-135.775,,530.000,-135.865,,1060.000,0.083,,1060.000,0.015,,1900.000,-41.427,,,,,1060.000,0.505,,1060.000,0.046,,1060.000,0.013,,1900.000,-39.889,,,,,530.000,-95.407,,530.000,-95.673
,3550.000,112.219,,560.000,74.929,,560.000,2.754,,560.000,0.043,,3550.000,111.843,,3550.000,-27.135,,3550.000,-26.799,,560.000,-135.769,,560.000,-136.157,,1120.000,0.120,,1120.000,0.014,,1800.000,-41.914,,,,,1120.000,0.396,,1120.000,0.123,,1120.000,0.025,,1800.000,-40.196,,,,,560.000,-95.402,,560.000,-95.965
,3350.000,112.992,,600.000,72.146,,600.000,1.829,,600.000,0.072,,3350.000,113.159,,3350.000,-31.080,,3350.000,-31.778,,600.000,-135.735,,600.000,-136.644,,1180.000,0.082,,1180.000,0.025,,1700.000,-41.708,,,,,1180.000,0.286,,1180.000,0.048,,1180.000,0.013,,1700.000,-40.479,,,,,600.000,-95.368,,600.000,-96.452
,3150.000,114.196,,630.000,72.478,,630.000,2.203,,630.000,0.041,,3150.000,114.449,,3150.000,-30.615,,3150.000,-42.770,,630.000,-134.072,,630.000,-136.006,,1250.000,0.068,,1250.000,0.022,,1600.000,-41.264,,,,,1250.000,0.154,,1250.000,0.074,,1250.000,0.017,,1600.000,-40.679,,,,,630.000,-93.705,,630.000,-95.814
,3000.000,115.904,,670.000,71.511,,670.000,1.693,,670.000,0.026,,3000.000,116.126,,3000.000,-31.371,,3000.000,-29.713,,670.000,-133.285,,670.000,-135.290,,1320.000,0.076,,1320.000,0.014,,1500.000,-40.913,,,,,1320.000,0.090,,1320.000,0.084,,1320.000,0.018,,1500.000,-40.756,,,,,670.000,-92.918,,670.000,-95.098
,2800.000,117.764,,710.000,72.149,,710.000,1.837,,710.000,0.038,,2800.000,117.038,,2800.000,-22.369,,2800.000,-19.464,,710.000,-133.698,,710.000,-134.360,,1400.000,0.078,,1400.000,0.017,,1400.000,-40.703,,,,,1400.000,0.176,,1400.000,0.096,,1400.000,0.025,,1400.000,-40.733,,,,,710.000,-93.330,,710.000,-94.168
,2650.000,116.415,,750.000,69.278,,750.000,1.263,,750.000,0.029,,2650.000,116.711,,2650.000,-15.862,,2650.000,-14.440,,750.000,-134.003,,750.000,-133.548,,1500.000,0.078,,1500.000,0.019,,1320.000,-40.634,,,,,1500.000,0.362,,1500.000,0.077,,1500.000,0.019,,1320.000,-40.718,,,,,750.000,-93.636,,750.000,-93.356
,2500.000,116.042,,800.000,68.814,,800.000,1.115,,800.000,0.033,,2500.000,116.489,,2500.000,-13.325,,2500.000,-12.845,,800.000,-133.978,,800.000,-133.454,,1600.000,0.111,,1600.000,0.014,,1250.000,-40.586,,,,,1600.000,0.625,,1600.000,0.051,,1600.000,0.013,,1250.000,-40.618,,,,,800.000,-93.610,,800.000,-93.262
,2360.000,117.325,,850.000,70.044,,850.000,1.209,,850.000,0.039,,2360.000,116.913,,2360.000,-13.494,,2360.000,-13.813,,850.000,-133.813,,850.000,-133.460,,1700.000,0.248,,1700.000,0.009,,1180.000,-40.459,,,,,1700.000,1.382,,1700.000,0.232,,1700.000,0.006,,1180.000,-40.404,,,,,850.000,-93.446,,850.000,-93.268
,2240.000,116.839,,900.000,69.897,,900.000,1.121,,900.000,0.034,,2240.000,116.748,,2240.000,-15.283,,2240.000,-16.268,,900.000,-133.608,,900.000,-133.319,,1800.000,0.562,,1800.000,0.015,,1120.000,-40.343,,,,,1800.000,2.422,,1800.000,0.547,,1800.000,0.014,,1120.000,-40.234,,,,,900.000,-93.241,,900.000,-93.127
,2120.000,115.861,,950.000,70.994,,950.000,1.216,,950.000,0.024,,2120.000,115.493,,2120.000,-18.154,,2120.000,-19.265,,950.000,-133.366,,950.000,-133.103,,1900.000,0.353,,1900.000,0.009,,1060.000,-40.348,,,,,1900.000,2.499,,1900.000,0.372,,1900.000,0.008,,1060.000,-40.201,,,,,950.000,-92.999,,950.000,-92.911
